original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
Barry (R G) Corp,barry,5.0,2.0,1,0,0,0.4,2,0.0,1,b060,-0.0084451194561858,5
WESTERN ASSET ZENIX INCOME FUND,western asset zenix income,5.75,2.0,0,0,1,0.391304347826087,5,0.25,0,w023,21.254905186738867,23
Basic Petroleum International Ltd,basic petroleum international,9.0,3.6666666666666665,1,0,0,0.4444444444444444,3,0.0,0,i530,21.98993972988189,27
BASSETT FURNITURE INDUSTRIES INC,bassett furniture industries,8.666666666666666,2.6666666666666665,1,0,0,0.3846153846153846,4,0.0,0,i530,35.13829993610166,26
BASSETT WALKER,bassett walker,6.5,2.0,1,0,0,0.3076923076923077,2,0.0,1,b020,14.133335420052664,13
BAUKOL NOONAN INC,baukol noonan,6.0,2.0,1,0,0,0.5,3,0.5,1,b020,15.9381604534907,12
Baxter International Inc,baxter international,9.5,3.5,1,0,0,0.4210526315789473,3,0.0,1,i530,18.104198738195993,19
BAXTER LABS INC,baxter labs,5.0,1.5,1,0,0,0.3,2,0.0,1,b023,10.547771000324737,10
BAXTER TRAVENOL LABS INC,baxter travenol labs,6.0,2.0,1,0,0,0.3333333333333333,3,0.3333333333333333,0,t601,19.13697475815185,18
BEAR CREEK CORP,bear creek,4.5,1.0,1,0,0,0.4444444444444444,3,0.0,1,c602,1.9729375538306924,9
BAYSWATER REALTY & CAPITAL CORP,bayswater realty capital,7.333333333333333,3.0,1,0,0,0.4545454545454545,5,0.3333333333333333,0,b020,21.77779132249252,22
AMERICAN INFORMATION TECHS CORP,american information techs,8.0,3.0,1,0,0,0.4166666666666667,3,0.0,0,i510,20.626710214277995,24
AMERITECH CORP,ameritech,9.0,4.0,1,0,0,0.4444444444444444,2,0.0,1,a506,12.24206555995782,9
APPLIED INDUSTRIAL TECHS INC,applied industrial techs,7.333333333333333,2.3333333333333335,1,0,0,0.3636363636363636,3,0.0,0,i530,23.421860346436517,22
BECK ARNLEY CORP,beck arnley,5.0,1.5,1,0,0,0.4,2,0.5,1,a654,7.794495062133502,10
Nitches Inc,nitches,7.0,2.0,0,1,0,0.2857142857142857,1,1.0,1,n032,7.901602023093726,7
Becton Dickinson and Co,becton dickinson and,6.0,2.0,1,0,0,0.3333333333333333,4,0.3333333333333333,0,d020,8.21625900807138,18
BECTON DICKINSON & CO,becton dickinson,7.5,2.5,1,0,0,0.3333333333333333,3,0.5,1,d020,11.73165350526838,15
