original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
DALLAS GOLD & SILVER EXCHANGE IN,dallas gold silver exchange in,5.2,1.6,1,0,0,0.3461538461538461,4,0.0,0,e205,10.644136956886394,26
ENVELA CORP,envela,6.0,3.0,1,0,0,0.5,2,1.0,1,e510,6.866861852269975,6
AMERICAN BRAKE SHOE CO,american brake shoe,5.666666666666667,2.0,1,0,0,0.4705882352941176,3,0.0,0,a506,9.227633049741168,17
ABEX CORP,abex,4.0,2.0,1,0,0,0.5,1,1.0,1,a102,6.2400192279227005,4
PLEXUS CORP,plexus,6.0,2.0,0,1,0,0.3333333333333333,1,0.0,1,p402,4.356111867709704,6
MIDAMERICA BANCSYSTEM INC,midamerica bancsystem,10.0,4.0,0,1,0,0.4,3,1.0,1,m030,39.08763131956978,20
HOME & CITY SVGS BK ALBANY NY,home city svgs bk albany ny,3.6666666666666665,1.5,0,1,0,0.3636363636363636,3,0.0,0,a410,5.452949839851745,22
GOOD GUYS INC,good guys,4.0,1.0,0,1,0,0.5,2,0.0,1,g030,5.803040760624104,8
NEUROTECH CORP,neurotech,9.0,3.0,0,1,0,0.4444444444444444,2,1.0,1,n060,13.88094162693305,9
FRANKLIN SAVINGS BANK FSB,franklin savings bank fsb,5.5,1.5,0,1,0,0.2272727272727272,4,0.25,0,f605,30.523459121325345,22
FRANKLIN BANK NATL ASSOC,franklin bank natl assoc,5.25,1.5,0,1,0,0.2857142857142857,4,0.0,0,f605,19.497126846748166,21
FRANKLIN BANCORP INC,franklin bancorp,7.5,2.0,0,1,0,0.2666666666666666,3,0.5,1,f605,15.800066152866494,15
PORTS OF CALL INC,ports of call,3.6666666666666665,1.0,0,1,0,0.2727272727272727,2,0.0,0,p063,-3.686363381016456,11
XIOX CORP,xiox,4.0,1.0,0,0,1,0.5,2,1.0,1,x020,7.234548686567813,4
AT COMM CORP,at comm,3.0,1.0,1,0,0,0.3333333333333333,2,0.0,1,c050,-0.5277485624521803,6
HARVARD SECURITIES GROUP PLC,harvard securities,8.5,3.0,0,1,0,0.4117647058823529,3,0.0,1,s020,22.875173375663245,17
HARVARD GROUP PLC,harvard,7.0,2.0,0,1,0,0.2857142857142857,2,0.0,1,h061,6.73138386283803,7
CANYON RESOURCES CORP,canyon resources,7.5,2.5,1,0,0,0.4666666666666667,2,0.0,1,r020,21.281678187174226,15
ANALYSIS & TECHNOLOGY INC,analysis technology,9.0,4.0,1,0,0,0.4444444444444444,2,0.0,1,t020,21.707007109577894,18
